0,0.2970,0.0245,0.2792,0.4880,0.7269,0.6718,0.6725,30
epoch,loss,encoder_mse,decoder_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2561,0.0093,0.2489,0.4804,0.7403,0.6702,0.6643,30
2,0.2545,0.0077,0.2483,0.4732,0.7661,0.6631,0.6461,31
3,0.2534,0.0090,0.2463,0.4567,0.7770,0.6473,0.6429,31
4,0.2468,0.0081,0.2403,0.4238,0.8314,0.6200,0.6108,30
5,0.2438,0.0078,0.2375,0.4134,0.8135,0.6293,0.6254,30
6,0.2401,0.0073,0.2342,0.4017,0.8407,0.6276,0.6140,31
7,0.2343,0.0086,0.2274,0.3797,0.8131,0.6314,0.6341,30
8,0.2294,0.0072,0.2235,0.3685,0.8503,0.6193,0.6075,31
9,0.2250,0.0074,0.2189,0.3564,0.9060,0.5916,0.5784,30
10,0.2215,0.0075,0.2153,0.3480,0.8743,0.5942,0.6088,31
11,0.2174,0.0066,0.2118,0.3401,0.8853,0.5981,0.5989,30
12,0.2135,0.0073,0.2076,0.3294,0.7909,0.6760,0.6592,30
13,0.2010,0.0070,0.1952,0.2992,0.9437,0.5541,0.5556,30
14,0.1986,0.0074,0.1925,0.2945,0.9128,0.5792,0.5726,30
15,0.1964,0.0067,0.1908,0.2912,0.8601,0.6180,0.6077,30
16,0.1899,0.0065,0.1846,0.2787,0.8049,0.6444,0.6433,31
17,0.1874,0.0059,0.1824,0.2735,0.8415,0.6402,0.6270,31
18,0.1868,0.0058,0.1818,0.2729,0.9384,0.5739,0.5711,31
19,0.1844,0.0055,0.1795,0.2679,1.0635,0.5532,0.5215,30
20,0.1822,0.0053,0.1773,0.2634,1.1642,0.4870,0.4707,30
21,0.1829,0.0067,0.1770,0.2625,1.1647,0.5291,0.4816,31
22,0.1747,0.0065,0.1687,0.2461,1.3655,0.4129,0.3920,31
23,0.1706,0.0067,0.1645,0.2380,1.4701,0.3652,0.3639,30
24,0.1694,0.0070,0.1630,0.2344,1.5163,0.4089,0.3793,31
25,0.1661,0.0068,0.1599,0.2279,1.4954,0.3941,0.3849,30
26,0.1663,0.0077,0.1593,0.2280,1.5938,0.3851,0.3917,31
27,0.1648,0.0065,0.1588,0.2267,1.4717,0.4098,0.4080,30
28,0.1633,0.0067,0.1572,0.2234,1.4741,0.4388,0.4177,31
29,0.1590,0.0062,0.1530,0.2146,1.7007,0.2962,0.3053,31
30,0.1567,0.0060,0.1507,0.2097,1.8201,0.3189,0.3081,31
31,0.1526,0.0059,0.1468,0.2027,1.7272,0.4718,0.4019,30
32,0.1518,0.0056,0.1460,0.2016,1.9478,0.2610,0.2798,31
33,0.1508,0.0069,0.1439,0.1970,2.0356,0.2911,0.2747,30
34,0.1484,0.0066,0.1418,0.1930,2.0763,0.2624,0.2580,30
35,0.1472,0.0057,0.1412,0.1919,1.9876,0.2528,0.2441,31
36,0.1460,0.0055,0.1401,0.1899,1.9982,0.2963,0.2893,30
37,0.1428,0.0048,0.1373,0.1839,2.2185,0.2191,0.2068,30
38,0.1429,0.0058,0.1365,0.1828,2.3492,0.1712,0.1778,31
39,0.1428,0.0062,0.1361,0.1821,2.3319,0.2499,0.2335,31
40,0.1396,0.0055,0.1333,0.1764,2.4752,0.1916,0.1953,31
41,0.1363,0.0052,0.1303,0.1703,2.3917,0.2259,0.2168,30
42,0.1334,0.0048,0.1279,0.1662,2.1656,0.2953,0.2946,31
43,0.1320,0.0051,0.1263,0.1629,2.0573,0.2518,0.2664,30
44,0.1295,0.0054,0.1236,0.1572,2.1324,0.1667,0.1770,31
45,0.1279,0.0043,0.1229,0.1561,2.0057,0.2668,0.2489,31
46,0.1281,0.0048,0.1227,0.1563,2.0458,0.3564,0.3003,30
47,0.1279,0.0048,0.1222,0.1550,2.3204,0.2745,0.2700,31
48,0.1270,0.0044,0.1214,0.1535,2.4579,0.2122,0.1915,30
49,0.1277,0.0046,0.1218,0.1537,2.6739,0.2317,0.2246,30
50,0.1250,0.0043,0.1195,0.1491,2.4786,0.1871,0.1933,30
51,0.1242,0.0045,0.1185,0.1483,2.6516,0.2382,0.2210,30
52,0.1228,0.0046,0.1170,0.1447,2.5158,0.2485,0.2610,31
53,0.1208,0.0049,0.1147,0.1409,2.7193,0.1418,0.1635,31
54,0.1202,0.0049,0.1142,0.1390,2.5714,0.2767,0.2571,30
55,0.1195,0.0053,0.1131,0.1368,2.7797,0.2039,0.1665,30
56,0.1162,0.0048,0.1102,0.1318,2.6570,0.1968,0.1925,30
57,0.1148,0.0044,0.1087,0.1288,3.0276,0.1143,0.1175,30
58,0.1129,0.0039,0.1075,0.1256,2.6268,0.2915,0.2533,30
59,0.1115,0.0049,0.1051,0.1217,3.0269,0.1243,0.1224,29
60,0.1093,0.0043,0.1037,0.1191,2.6680,0.2305,0.1840,30
61,0.1098,0.0047,0.1039,0.1194,2.6252,0.2107,0.1927,30
62,0.1098,0.0046,0.1039,0.1195,2.7084,0.2315,0.2494,30
63,0.1061,0.0047,0.0996,0.1110,3.2562,0.0996,0.1009,29
64,0.1059,0.0042,0.1005,0.1132,2.5027,0.2976,0.2804,30
65,0.1032,0.0038,0.0977,0.1076,2.7780,0.1562,0.1674,30
66,0.1011,0.0037,0.0958,0.1033,2.6655,0.2224,0.2127,29
67,0.0996,0.0041,0.0935,0.0991,3.2001,0.0737,0.0840,29
68,0.0982,0.0041,0.0920,0.0962,3.3853,0.1480,0.1452,30
69,0.0962,0.0040,0.0907,0.0940,2.6697,0.1731,0.1818,30
70,0.0959,0.0046,0.0901,0.0930,2.5326,0.2768,0.2416,30
71,0.0954,0.0041,0.0900,0.0927,2.4974,0.2574,0.2731,29
72,0.0949,0.0038,0.0893,0.0915,2.9338,0.1461,0.1520,29
73,0.0953,0.0044,0.0896,0.0922,2.5898,0.2053,0.1975,29
74,0.0917,0.0042,0.0862,0.0856,2.5913,0.2608,0.2344,30
75,0.0881,0.0042,0.0821,0.0778,3.1240,0.1093,0.1101,30
76,0.0864,0.0039,0.0809,0.0760,2.8366,0.1498,0.1373,30
77,0.0865,0.0038,0.0809,0.0754,3.0117,0.1248,0.1285,29
78,0.0876,0.0038,0.0820,0.0779,2.9478,0.1923,0.2040,30
79,0.0868,0.0037,0.0811,0.0764,3.0733,0.1446,0.1577,29
80,0.0859,0.0038,0.0808,0.0760,2.4656,0.3031,0.2789,30
81,0.0844,0.0039,0.0792,0.0728,2.4781,0.2952,0.2677,30
82,0.0819,0.0035,0.0769,0.0688,2.5332,0.2133,0.2108,29
83,0.0822,0.0039,0.0766,0.0684,2.8217,0.2149,0.1927,30
84,0.0812,0.0038,0.0752,0.0655,3.3740,0.0731,0.0846,29
85,0.0809,0.0042,0.0746,0.0648,3.4859,0.0919,0.0719,30
86,0.0785,0.0040,0.0730,0.0618,2.6866,0.1639,0.1671,29
87,0.0776,0.0039,0.0718,0.0598,3.0119,0.2533,0.2513,30
88,0.0766,0.0034,0.0714,0.0590,2.8397,0.1843,0.1631,29
89,0.0751,0.0033,0.0699,0.0566,2.8012,0.1845,0.1643,30
90,0.0730,0.0034,0.0674,0.0518,3.1986,0.0717,0.0706,30
91,0.0731,0.0038,0.0675,0.0522,2.9631,0.2154,0.1633,29
92,0.0721,0.0036,0.0669,0.0518,2.6165,0.2431,0.2546,30
93,0.0725,0.0041,0.0663,0.0509,3.2867,0.1449,0.1424,30
94,0.0732,0.0037,0.0667,0.0512,3.8568,0.0986,0.0814,30
